account,debit,credit,date_maturity,payment_mode,analytic_acc
(Código de la cuenta,,,,,
 contable),(Debe),(Haber),(Fecha vencimiento),,
,,,,,
,,,,,
,,,,,
43001028,"66,56",,02/17/2019,Transferencia,MS
43001028,"138,35",,07/30/2018,Transferencia,MS
43001032,"845,79",,10/31/2018,Transferencia,MS
43001034,"845,79",,06/30/2018,Transferencia,MS
43001034,"845,79",,07/31/2018,Transferencia,MS
43001035,"845,79",,10/30/2018,Transferencia,MS
43001037,"-253,74",,09/13/2018,,MS
43001037,"1989,29",,10/31/2018,Transferencia,MS
43001038,"845,79",,12/30/2018,Transferencia,MS
43001038,"845,79",,01/30/2019,Transferencia,MS
43001040,-699,,12/31/2018,,MS
43001040,350,,12/31/2018,Transferencia,MS
43001040,699,,12/31/2018,Transferencia,MS
43001041,"3102,78",,12/31/2018,Transferencia,SAAS
43001041,"240,79",,06/30/2018,Tarjeta,SAAS
43001042,"845,79",,10/31/2018,Transferencia,MS
43001042,"845,79",,09/30/2018,Transferencia,MS
43001042,"845,79",,08/31/2018,Transferencia,MS
43001042,"845,79",,07/31/2018,Transferencia,MS
43001044,"345,94",,10/31/2018,Transferencia,MS
43001044,"178,12",,11/30/2018,Transferencia,MS
43001044,"522,84",,12/31/2018,Transferencia,MS
43001045,"845,79",,07/31/2018,Transferencia,MS
43001045,"845,79",,07/31/2018,Transferencia,MS
43001045,"845,79",,08/31/2018,Transferencia,MS
43001046,"845,79",,09/30/2018,Transferencia,MS
43001046,"763,93",,07/31/2018,Transferencia,MS
43001046,"845,79",,10/31/2018,Transferencia,MS
43001048,"-615,12",,10/26/2018,,MS
43001048,"601,14",,10/30/2018,Tarjeta,MS
43001049,"1208,79",,12/31/2018,Transferencia,MS
43001050,"845,79",,12/31/2018,Transferencia,MS
43001050,"845,79",,11/30/2018,Transferencia,MS
43001051,"77,2",,11/30/2018,Transferencia,MS
43001051,"128,55",,10/31/2018,Transferencia,MS
43001051,"57,68",,12/31/2018,Transferencia,MS
43001052,"845,79",,02/14/2019,Transferencia,MS
43001052,"845,79",,12/15/2018,Transferencia,MS
43001052,"845,79",,01/14/2019,Transferencia,MS
43001052,"845,79",,10/15/2018,Transferencia,MS
43001052,"845,79",,11/14/2018,Transferencia,MS
43001053,"3380,88",,11/30/2018,Transferencia,SAAS
43001053,"3084,87",,12/31/2018,Transferencia,SAAS
43001056,"845,79",,12/31/2018,Transferencia,MS
43001057,"1366,82",,12/20/2018,Transferencia,MS
43001057,"2097,41",,11/30/2018,Transferencia,MS
43001059,"845,79",,10/25/2018,Transferencia,MS
43001059,"845,79",,10/31/2018,Transferencia,MS
43001059,"338,32",,10/25/2018,Transferencia,MS
43001060,"418,12",,10/25/2018,Transferencia,SAAS
43001062,"1208,79",,12/31/2018,Domiciliado,MS
43001063,"8338,2",,12/31/2018,Transferencia,MS
43001063,24,,11/30/2018,Transferencia,MS
43001064,"96,47",,11/30/2018,Domiciliado,MS
43001065,"845,79",,12/31/2018,Domiciliado,MS
43001066,"1878,25",,12/31/2018,Transferencia,SAAS
43001066,"240,79",,12/14/2018,Transferencia,
43001066,-199,,12/18/2018,,
43001067,"1208,79",,12/31/2018,Domiciliado,MS
43001068,"1208,79",,12/31/2018,Domiciliado,MS
43001069,"506,92",,12/31/2018,Domiciliado,MS
43001070,"857,85",,12/31/2018,Domiciliado,MS
43001071,"845,79",,12/31/2018,Domiciliado,MS
43001072,"482,79",,12/31/2018,Transferencia,SAAS
43001073,"659,28",,12/31/2018,Tarjeta,SAAS
43001074,"2785,29",,12/31/2018,Transferencia,SAAS
